title1,title2,score
"NTSA sounds alarm over uncollected logbooks as deadline nears","NTSA Warns It Will Destroy Uncollected Logbooks, Urges Owners to Collect Them within 5 months",0.938892
"Governor's Driver Shot as Chaos Erupt During Rally","Police Address Alleged Shooting of Governor Irungu Kang'ata's Driver",0.931809
"Sossion urges Interior Ministry to prosecute goon sponsors","Sossion asserts goons are paid by politicians across political divide",0.928841
"NTSA to destroy uncollected logbooks, gives timeline for owners to collect them","NTSA Gives Fresh Directive Over Unclaimed Logbooks, Number Plates & Licences",0.911035
"Governor's Driver Shot as Chaos Erupt During Rally","Governor Irungu Kang'ata's driver allegedly shot by police during chaos in Ol Kalou",0.908388
"Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll","Close Gachagua Ally and MP Attacked in Ol Kalou",0.902956
"Police probe alleged shooting involving EALA lawmaker Kanini Kega","Ol Kalou: Kanini Kega's car attacked as DCP, UDA supporters clash ahead of July 16 poll",0.896701
"Kithure Kindiki emerges as most preferred running mate for William Ruto in 2027, new poll","Kalonzo-Sifuna tops preferred opposition pairing for 2027 presidential race, new poll",0.896153
"Muchina makes final appeal as Ol Kalou campaigns end","DCP’s Kamau Ngotho urges Ol Kalou voters outside constituency to contact him before poll",0.894177
"Governor Irungu Kang'ata's driver allegedly shot by police during chaos in Ol Kalou","Police Address Alleged Shooting of Governor Irungu Kang'ata's Driver",0.888955
"Ruto’s Fuel Price Cushion Plan Delayed After World Bank’s Directive","Why World Bank has delayed Sh78bn emergency loan to Kenya",0.886699
"Wetang'ula risks jail over alleged breach of court orders on political campaigns","Speaker Moses Wetang'ula faces possible jail term as High Court Certifies contempt case urgent",0.882827
"MP Caroli Omondi: Goons are hired criminals, not political activists","Caroli Omondi accuses State of using plainclothes officers as goons",0.877049
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","Murkomen Announces Fresh Anti-Goon Plan Ahead of Ol Kalou Polls",0.867163
"Sossion asserts goons are paid by politicians across political divide","Caroli Omondi accuses State of using plainclothes officers as goons",0.854343
"County Govt Confirms Arrest of Over 200 Individuals Amid Crackdown on Goons","Chaos as Armed Goons Attempt to Raid Linda Mwananchi Church Service",0.851912
"Police probe alleged shooting involving EALA lawmaker Kanini Kega","Close Gachagua Ally and MP Attacked in Ol Kalou",0.849237
